REF_DATE,GEO,DGUID,Age.at.time.of.death,Sex,Leading.causes.of.death..ICD.10.,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Rank of leading causes of death,Number,223,units,0,v1300174442,1.1.1.100.1,NA,..,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Rank of leading causes of death,Number,223,units,0,v1300174442,1.1.1.100.1,NA,..,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Rank of leading causes of death,Number,223,units,0,v1300174442,1.1.1.100.1,NA,..,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Rank of leading causes of death,Number,223,units,0,v1300174442,1.1.1.100.1,NA,..,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Rank of leading causes of death,Number,223,units,0,v1300174442,1.1.1.100.1,NA,..,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Rank of leading causes of death,Number,223,units,0,v1300174442,1.1.1.100.1,NA,..,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,219538,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,223603,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,226169,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,226584,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,230132,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,228079,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,235217,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,238617,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,238418,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,240075,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,243511,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,246596,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,252338,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,258821,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,264333,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,267213,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,278298,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,285704,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,285301,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,308412,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,311640,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"Total, all causes of death [A00-Y89]",Number of deaths,Number,223,units,0,v41618016,1.1.1.100.2,334081,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,43,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,40,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,42,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,42,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,40,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,40,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,40,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,42,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,40,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,40,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,41,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,39,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Rank of leading causes of death,Number,223,units,0,v41341041,1.1.1.1.1,40,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,1,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,6,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,8,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,5,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,4,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,1,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,5,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,7,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,5,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,9,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,5,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,8,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,11,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,10,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,12,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,5,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Salmonella infections [A01-A02],Number of deaths,Number,223,units,0,v41341042,1.1.1.1.2,10,,NA,NA,0
