Year,Leading_Cause_Death,Ranking,Number_Death
2018,"Total, all causes of death [A00-Y89]",NA,285704
2019,"Total, all causes of death [A00-Y89]",NA,285301
2020,"Total, all causes of death [A00-Y89]",NA,308412
2021,"Total, all causes of death [A00-Y89]",NA,311640
2022,"Total, all causes of death [A00-Y89]",NA,334081
2018,Salmonella infections [A01-A02],40,7
2019,Salmonella infections [A01-A02],41,6
2020,Salmonella infections [A01-A02],41,9
2021,Salmonella infections [A01-A02],39,11
2022,Salmonella infections [A01-A02],40,12
2018,"Shigellosis and amoebiasis [A03, A06]",43,1
2019,"Shigellosis and amoebiasis [A03, A06]",46,0
2020,"Shigellosis and amoebiasis [A03, A06]",45,0
2021,"Shigellosis and amoebiasis [A03, A06]",45,1
2022,"Shigellosis and amoebiasis [A03, A06]",46,0
2018,Tuberculosis [A16-A19],34,84
2019,Tuberculosis [A16-A19],34,71
2020,Tuberculosis [A16-A19],34,99
2021,Tuberculosis [A16-A19],34,110
2022,Tuberculosis [A16-A19],33,119
2018,Whooping cough [A37],43,1
2019,Whooping cough [A37],43,2
2020,Whooping cough [A37],45,0
2021,Whooping cough [A37],47,0
2022,Whooping cough [A37],46,0
2018,"Scarlet fever and erysipelas [A38, A46]",46,0
2019,"Scarlet fever and erysipelas [A38, A46]",46,0
2020,"Scarlet fever and erysipelas [A38, A46]",45,0
2021,"Scarlet fever and erysipelas [A38, A46]",47,0
2022,"Scarlet fever and erysipelas [A38, A46]",44,1
2018,Meningococcal infection [A39],42,6
2019,Meningococcal infection [A39],40,9
2020,Meningococcal infection [A39],42,8
2021,Meningococcal infection [A39],41,7
2022,Meningococcal infection [A39],42,6
2018,Sepsis [A40-A41],13,2195
2019,Sepsis [A40-A41],13,2139
2020,Sepsis [A40-A41],14,2246
2021,Sepsis [A40-A41],14,2064
2022,Sepsis [A40-A41],14,2183
2018,Syphilis [A50-A53],40,7
2019,Syphilis [A50-A53],42,3
2020,Syphilis [A50-A53],43,6
2021,Syphilis [A50-A53],43,6
2022,Syphilis [A50-A53],43,4
2018,Acute poliomyelitis [A80],46,0
2019,Acute poliomyelitis [A80],46,0
2020,Acute poliomyelitis [A80],45,0
2021,Acute poliomyelitis [A80],47,0
2022,Acute poliomyelitis [A80],46,0
2018,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",46,0
2019,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",44,1
2020,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",45,0
2021,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",44,2
2022,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",46,0
2018,Measles [B05],46,0
2019,Measles [B05],44,1
2020,Measles [B05],45,0
2021,Measles [B05],47,0
2022,Measles [B05],46,0
2018,Viral hepatitis [B15-B19],26,357
2019,Viral hepatitis [B15-B19],26,311
2020,Viral hepatitis [B15-B19],27,262
2021,Viral hepatitis [B15-B19],28,271
2022,Viral hepatitis [B15-B19],29,210
2018,Human immunodeficiency virus [HIV] disease [B20-B24],31,142
2019,Human immunodeficiency virus [HIV] disease [B20-B24],32,105
2020,Human immunodeficiency virus [HIV] disease [B20-B24],32,136
2021,Human immunodeficiency virus [HIV] disease [B20-B24],32,133
2022,Human immunodeficiency virus [HIV] disease [B20-B24],32,129
2018,Malaria [B50-B54],43,1
2019,Malaria [B50-B54],46,0
2020,Malaria [B50-B54],45,0
2021,Malaria [B50-B54],47,0
2022,Malaria [B50-B54],44,1
2018,Malignant neoplasms [C00-C97],1,79726
2019,Malignant neoplasms [C00-C97],1,80372
2020,Malignant neoplasms [C00-C97],1,81242
2021,Malignant neoplasms [C00-C97],1,82822
2022,Malignant neoplasms [C00-C97],1,82412
2018,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",14,1752
2019,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",14,1767
2020,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,1860
2021,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",17,1793
2022,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",17,1803
2018,Anaemias [D50-D64],21,523
2019,Anaemias [D50-D64],20,543
2020,Anaemias [D50-D64],21,627
2021,Anaemias [D50-D64],21,652
2022,Anaemias [D50-D64],21,654
2018,Diabetes mellitus [E10-E14],7,6864
2019,Diabetes mellitus [E10-E14],6,6987
2020,Diabetes mellitus [E10-E14],7,7654
2021,Diabetes mellitus [E10-E14],7,7472
2022,Diabetes mellitus [E10-E14],7,7557
2018,Nutritional deficiencies [E40-E64],27,250
2019,Nutritional deficiencies [E40-E64],27,217
2020,Nutritional deficiencies [E40-E64],28,254
2021,Nutritional deficiencies [E40-E64],27,274
2022,Nutritional deficiencies [E40-E64],26,321
2018,"Meningitis [G00, G03]",33,93
2019,"Meningitis [G00, G03]",33,77
2020,"Meningitis [G00, G03]",35,76
2021,"Meningitis [G00, G03]",35,58
2022,"Meningitis [G00, G03]",35,89
2018,Parkinson's disease [G20-G21],12,3104
2019,Parkinson's disease [G20-G21],12,3155
